orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
Putida	PP_0001	PP_0001		probable chromosome-partitioning protein	PP_5352	PP_5352		DNA-dependent ATPase I and helicase II, nucleotide Excision Repair Complex	1	0.493428801055764	FALSE
Putida	PP_0001	PP_0001		probable chromosome-partitioning protein	PP_0393	PP_0393		putative 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	2	0.466942513789016	FALSE
Putida	PP_0001	PP_0001		probable chromosome-partitioning protein	PP_1353	PP_1353		conserved membrane protein of unknown function	3	0.458867466690189	FALSE
Putida	PP_0001	PP_0001		probable chromosome-partitioning protein	PP_5310	PP_5310		junction-specific ATP-dependent DNA helicase	4	0.434821815306454	FALSE
Putida	PP_0001	PP_0001		probable chromosome-partitioning protein	PP_4799	PP_4799		putative Muramoyltetrapeptide carboxypeptidase	5	0.433802647429044	FALSE
Putida	PP_0001	PP_0001		probable chromosome-partitioning protein	PP_1629	PP_1629		Protein RecA	6	0.42072735176475	FALSE
Putida	PP_0001	PP_0001		probable chromosome-partitioning protein	PP_4124	PP_4124		NADH-quinone oxidoreductase subunit G	7	0.410913274990435	FALSE
Putida	PP_0001	PP_0001		probable chromosome-partitioning protein	PP_4120	PP_4120		NADH-quinone oxidoreductase subunit B	8	0.404116465509737	FALSE
Putida	PP_0001	PP_0001		probable chromosome-partitioning protein	PP_4129	PP_4129		NADH:ubiquinone oxidoreductase, membrane subunit L	9	0.400320370986058	FALSE
Putida	PP_0001	PP_0001		probable chromosome-partitioning protein	PP_0063	PP_0063		putative Lipid A biosynthesis lauroyl acyltransferase	10	0.395168633254186	FALSE
Putida	PP_0001	PP_0001		probable chromosome-partitioning protein	PP_3248	PP_3248		Dyp-type peroxidase family protein	11	0.393967543337973	FALSE
Putida	PP_0001	PP_0001		probable chromosome-partitioning protein	PP_4121	PP_4121		NADH-quinone oxidoreductase subunit C/D	12	0.391816394699261	FALSE
Putida	PP_0001	PP_0001		probable chromosome-partitioning protein	PP_5309	PP_5309		oxidative and nitrosative stress transcriptional dual regulator	13	0.390102436648639	FALSE
Putida	PP_0001	PP_0001		probable chromosome-partitioning protein	PP_0123	PP_0123		DNA polymerase I, 5	14	0.38898509611025	FALSE
Putida	PP_0001	PP_0001		probable chromosome-partitioning protein	PP_4988	PP_4988		signal transduction histidine kinase CheA/CheY-like receiver	15	0.384727659155418	FALSE
Putida	PP_0001	PP_0001		probable chromosome-partitioning protein	PP_4131	PP_4131		NADH-quinone oxidoreductase subunit N	16	0.384016298675942	FALSE
Putida	PP_0001	PP_0001		probable chromosome-partitioning protein	PP_5028	PP_5028		proline iminopeptidase	17	0.378413766695423	FALSE
Putida	PP_0001	PP_0001		probable chromosome-partitioning protein	PP_4130	PP_4130		NADH:ubiquinone oxidoreductase, membrane subunit M	18	0.376708534610715	FALSE
Putida	PP_0001	PP_0001		probable chromosome-partitioning protein	PP_4989	PP_4989		Protein PilJ	19	0.374523046596467	FALSE
Putida	PP_0001	PP_0001		probable chromosome-partitioning protein	PP_2000	PP_2000		amidophosphoribosyl transferase	20	0.367655525060769	FALSE
Putida	PP_0002	PP_0002		probable chromosome partition protein	PP_5352	PP_5352		DNA-dependent ATPase I and helicase II, nucleotide Excision Repair Complex	1	0.470225315757099	FALSE
Putida	PP_0002	PP_0002		probable chromosome partition protein	PP_3248	PP_3248		Dyp-type peroxidase family protein	2	0.453243841209012	FALSE
Putida	PP_0002	PP_0002		probable chromosome partition protein	PP_2302	PP_2302		DNA-binding, ATP-dependent protease	3	0.444162992577021	FALSE
Putida	PP_0002	PP_0002		probable chromosome partition protein	PP_4988	PP_4988		signal transduction histidine kinase CheA/CheY-like receiver	4	0.424158992295496	FALSE
Putida	PP_0002	PP_0002		probable chromosome partition protein	PP_5028	PP_5028		proline iminopeptidase	5	0.4148139153091	FALSE
Putida	PP_0002	PP_0002		probable chromosome partition protein	PP_5227	PP_5227		diaminopimelate decarboxylase	6	0.380416359842511	FALSE
Putida	PP_0002	PP_0002		probable chromosome partition protein	PP_5230	PP_5230		Tyrosine recombinase XerC	7	0.379005071561467	FALSE
Putida	PP_0002	PP_0002		probable chromosome partition protein	PP_1217	PP_1217		Holliday junction ATP-dependent DNA helicase RuvB	8	0.376519469150915	FALSE
Putida	PP_0002	PP_0002		probable chromosome partition protein	PP_0184	PP_0184		Argininosuccinate lyase	9	0.371375014228651	FALSE
Putida	PP_0002	PP_0002		probable chromosome partition protein	PP_4121	PP_4121		NADH-quinone oxidoreductase subunit C/D	10	0.369114252717399	FALSE
Putida	PP_0002	PP_0002		probable chromosome partition protein	PP_4129	PP_4129		NADH:ubiquinone oxidoreductase, membrane subunit L	11	0.369045660780163	FALSE
Putida	PP_0002	PP_0002		probable chromosome partition protein	PP_1629	PP_1629		Protein RecA	12	0.367973044843035	FALSE
Putida	PP_0002	PP_0002		probable chromosome partition protein	PP_4699	PP_4699		3-methyl-2-oxobutanoate hydroxymethyltransferase	13	0.367236276325559	FALSE
Putida	PP_0002	PP_0002		probable chromosome partition protein	PP_1468	PP_1468		Tyrosine recombinase XerD	14	0.366285845701876	FALSE
Putida	PP_0002	PP_0002		probable chromosome partition protein	PP_0082	PP_0082		tryptophan synthase alpha chain	15	0.36349433090385	FALSE
Putida	PP_0002	PP_0002		probable chromosome partition protein	PP_1493	PP_1493		chemotaxis response regulator protein-glutamate methylesterase of group 3 operon	16	0.363071703130231	FALSE
Putida	PP_0002	PP_0002		probable chromosome partition protein	PP_0063	PP_0063		putative Lipid A biosynthesis lauroyl acyltransferase	17	0.362530453022925	FALSE
Putida	PP_0002	PP_0002		probable chromosome partition protein	PP_3649	PP_3649		Transcriptional regulator, GntR family	18	0.361684904010548	FALSE
Putida	PP_0002	PP_0002		probable chromosome partition protein	PP_0914	PP_0914		GGDEF domain protein	19	0.360703688131934	FALSE
Putida	PP_0002	PP_0002		probable chromosome partition protein	PP_4004	PP_4004		DNA translocase FtsK	20	0.359379221349682	FALSE
Putida	PP_0003	PP_0003		16S RNA methyltransferase	PP_4560	PP_4560		putative Ribonuclease BN	1	0.411444899125606	FALSE
Putida	PP_0003	PP_0003		16S RNA methyltransferase	PP_4880	PP_4880		exoribonuclease R	2	0.354504122856803	FALSE
Putida	PP_0003	PP_0003		16S RNA methyltransferase	PP_0719	PP_0719		ribosome-associated potassium-dependent informational ATP/GTPase	3	0.348348995209698	FALSE
Putida	PP_0003	PP_0003		16S RNA methyltransferase	PP_3831	PP_3831		conserved protein of unknown function	4	0.33734297815594	FALSE
Putida	PP_0003	PP_0003		16S RNA methyltransferase	PP_4895	PP_4895		tRNA dimethylallyltransferase	5	0.337207146091851	FALSE
