expGroup	expName	condition_1	locusId	sysName	gene	desc	fit	t	conserved
carbon source	set12IT002	1,2-Propanediol	PP_0612	PP_0612		FAD-dependent glycine/D-amino acid oxidase	-1.50643029927998	-7.46196911033471	FALSE
carbon source	set12IT032	1,2-Propanediol	PP_0612	PP_0612		FAD-dependent glycine/D-amino acid oxidase	-1.50549393545675	-8.4157465180687	FALSE
carbon source	set12IT002	1,2-Propanediol	PP_1427	PP_1427		RNA polymerase sigma E factor	-1.34015188845579	-6.83711712237669	FALSE
carbon source	set12IT032	1,2-Propanediol	PP_1427	PP_1427		RNA polymerase sigma E factor	-1.22458931865304	-5.42021269503126	FALSE
carbon source	set12IT032	1,2-Propanediol	PP_2671	PP_2671		Sensor histidine kinase	-1.07456750120705	-6.64590299656802	FALSE
carbon source	set12IT032	1,2-Propanediol	PP_2683	PP_2683		putative sensory box histidine kinase/response regulator	-1.45335769569249	-6.67604871368913	FALSE
carbon source	set12IT032	1,2-Propanediol	PP_4735	PP_4735		L-lactate permease	-4.92070603125229	-11.2226981896517	FALSE
carbon source	set12IT002	1,2-Propanediol	PP_4735	PP_4735		L-lactate permease	-3.71440717622784	-8.81492878374887	FALSE
carbon source	set12IT032	1,2-Propanediol	PP_4736	PP_4736		L-lactate dehydrogenase	-5.75277256824432	-16.2019710639266	FALSE
carbon source	set12IT002	1,2-Propanediol	PP_4736	PP_4736		L-lactate dehydrogenase	-4.21881774246368	-11.0344887970483	FALSE
carbon source	set12IT032	1,2-Propanediol	PP_4737	PP_4737		D-lactate dehydrogenase	-1.48319910450561	-8.1767549570481	FALSE
carbon source	set12IT002	1,2-Propanediol	PP_4737	PP_4737		D-lactate dehydrogenase	-1.35365249989549	-6.77776100320616	FALSE
carbon source	set16IT006	1,3-Butandiol	PP_0248	PP_0248		Probable alpha-L-glutamate ligase	-1.23900834534278	-8.86103389057244	FALSE
carbon source	set16IT006	1,3-Butandiol	PP_3073	PP_3073		3-hydroxybutyrate dehydrogenase	-3.09934572288277	-11.5048905637206	FALSE
carbon source	set16IT007	1,3-Butandiol	PP_3073	PP_3073		3-hydroxybutyrate dehydrogenase	-1.85570337980349	-9.94933805285791	FALSE
carbon source	set16IT006	1,3-Butandiol	PP_3075	PP_3075		putative transcriptional regulator	-2.09924772205822	-6.98030652867763	FALSE
carbon source	set16IT007	1,3-Butandiol	PP_3075	PP_3075		putative transcriptional regulator	-1.54749913025201	-5.19603420698389	FALSE
carbon source	set16IT006	1,3-Butandiol	PP_3121	PP_3121		transcriptional regulator, LysR family	-4.0393444692349	-6.16084344928516	FALSE
carbon source	set16IT006	1,3-Butandiol	PP_3122	PP_3122		acetoacetyl CoA-transferase (subunit A)	-3.44849753436227	-5.38225327411442	FALSE
carbon source	set16IT007	1,3-Butandiol	PP_3122	PP_3122		acetoacetyl CoA-transferase (subunit A)	-2.35436430363948	-7.59609738872866	FALSE
carbon source	set16IT006	1,3-Butandiol	PP_3123	PP_3123		acetoacetyl CoA-transferase (subunit B)	-5.36332996026599	-12.4417403535411	FALSE
carbon source	set16IT007	1,3-Butandiol	PP_3123	PP_3123		acetoacetyl CoA-transferase (subunit B)	-2.60368951744973	-9.25305105985027	FALSE
carbon source	set16IT006	1,3-Butandiol	PP_3776	PP_3776		putative permease (RarD protein)	-1.62933737885149	-9.75878768029917	FALSE
carbon source	set16IT007	1,3-Butandiol	PP_3828	PP_3828		Molybdate-binding periplasmic protein	-1.13373279256465	-6.92936391265089	FALSE
carbon source	set16IT006	1,3-Butandiol	PP_4565	PP_4565		Isocitrate dehydrogenase kinase/phosphatase	-1.04649512518614	-7.91093028090113	FALSE
carbon source	set16IT007	1,3-Butandiol	PP_4923	PP_4923		Outer membrane efflux protein	-1.05447917858553	-7.02053286259728	FALSE
carbon source	set16IT007	1,3-Butandiol	PP_5161	PP_5161		putative lysophospholipase	-1.61589634509152	-5.90496709809475	FALSE
carbon source	set12IT039	1,4-Butanediol	PP_0176	PP_0176		putative efflux transporter	1.03678552997244	7.69715426623433	FALSE
carbon source	set12IT009	1,4-Butanediol	PP_0176	PP_0176		putative efflux transporter	1.23051562827085	9.13079228596439	FALSE
